"COLUMN_NAME","DATA_TYPE","IS_NULLABLE","CHARACTER_MAXIMUM_LENGTH"
"TICKET","char","NO","8"
"CODIGO_FILIAL","char","NO","6"
"DATA_VENDA","datetime","NO",""
"ITEM","char","NO","4"
"CODIGO_BARRA","varchar","NO","25"
"PRODUTO","char","YES","12"
"COR_PRODUTO","char","YES","10"
"TAMANHO","smallint","YES",""
"QTDE","int","YES",""
"PRECO_LIQUIDO","numeric","YES",""
"DESCONTO_ITEM","numeric","YES",""
"NUMERO_IMP_FISCAL","varchar","YES","10"
"QTDE_CANCELADA","int","YES",""
"TIMESTAMP","timestamp","YES",""
"DATA_PARA_TRANSFERENCIA","datetime","YES",""
"CUSTO","numeric","YES",""
"FATOR_DESCONTO_VENDA","numeric","YES",""
"FATOR_VENDA_LIQ","numeric","YES",""
"IPI","numeric","YES",""
"ALIQUOTA","numeric","YES",""
"ID_VENDEDOR","smallint","YES",""
"ITEM_EXCLUIDO","bit","NO",""
"QTDE_BRINDE","tinyint","NO",""
"RATEIO_DESCONTO_VENDA","numeric","YES",""
"NAO_MOVIMENTA_ESTOQUE","bit","NO",""
"INDICA_ENTREGA_FUTURA","bit","NO",""
"data_entrega","smalldatetime","YES",""
"IDPROMOCAO","int","YES",""
"LX_HASH","varbinary","YES","16"
"VALOR_TOTAL","numeric","YES",""
"ITEM_NOTA_DEV","bit","YES",""
"RATEIO_CALCULADO","bit","YES",""
